"Year","Gross","Net","Conventional.Accounting","Economic.Sector","Sector","Category","Sub.Category.1","Sub.Category.2","Sub.Category.3","Gas","MT.CO2e.AR5.20.yr","MT.CO2e.AR4.100.yr","Average_Fahrenheit_Temperature"
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Coal","CO2",24766371,24766371,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Coal","CH4",16154,5385,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Coal","N2O",261098,262087,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Distillate Fuel","CO2",471548,471548,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Distillate Fuel","CH4",509,170,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Distillate Fuel","N2O",710,713,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Natural Gas","CO2",12553864,12553864,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Natural Gas","CH4",20984,6995,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Natural Gas","N2O",19785,19860,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Petroleum Coke","CO2",0,0,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Petroleum Coke","CH4",0,0,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Petroleum Coke","N2O",0,0,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Residual Fuel","CO2",25399719,25399719,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Residual Fuel","CH4",23981,7994,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Residual Fuel","N2O",28264,28371,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Wood","CH4",627,209,53.4
1990,"Yes","Yes","Yes","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Wood","N2O",1254,1258,53.4
1990,"Yes","No","No","Electricity","Energy","Fuel Combustion","Electricity","Not Applicable","Wood","Biogenic CO2",66321,66321,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Coal","CO2",130313,130313,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Coal","CH4",36079,12026,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Coal","N2O",567,569,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Distillate Fuel","CO2",13578592,13578592,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Distillate Fuel","CH4",162717,54239,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Distillate Fuel","N2O",30684,30800,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Kerosene","CO2",732452,732452,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Kerosene","CH4",8870,2957,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Kerosene","N2O",1673,1679,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","LPG","CO2",903005,903005,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","LPG","CH4",6363,2121,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","LPG","N2O",400,401,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Natural Gas","CO2",18445181,18445181,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Natural Gas","CH4",154159,51386,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Natural Gas","N2O",9690,9727,53.4
1990,"Yes","Yes","Yes","Buildings","Energy","Fuel Combustion","Residential","Not Applicable","Wood","CH4",1011358,337119,53.4
